,MolWt,LogP,TPSA,SMILES,FP,FP array
75,359.32800000000015,4.030600000000002,69.4,O=C1CCC(c2noc3ccc4cc(OCC(F)F)ccc4c23)C(=O)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774200>,[0 1 0 ... 0 0 0]
76,353.3740000000002,3.411900000000002,78.63,COCCOc1ccc2c(ccc3onc(C4CCC(=O)CC4=O)c32)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774270>,[0 0 0 ... 0 0 0]
77,375.4240000000002,4.759600000000003,77.24000000000001,O=C1CCC(c2noc3ccc4cc(C(=O)CCC5CC5)ccc4c23)C(=O)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007742e0>,[0 0 0 ... 0 0 0]
78,366.4170000000002,3.3271000000000015,72.64,CN(C)CCOc1ccc2c(ccc3onc(C4CCC(=O)CC4=O)c32)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774350>,[0 0 0 ... 0 0 0]
79,354.841,4.654920000000003,65.52,C/N=C1\CC(c2cccc(NC(=O)Nc3ccc(Cl)c(C)c3)c2)=CN1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007743c0>,[0 0 0 ... 0 0 0]
80,403.3130000000001,5.778500000000004,65.52,CC(C)/N=C1\CC(c2cccc(NC(=O)Nc3ccc(Cl)c(Cl)c3)c2)=CN1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774430>,[0 1 0 ... 0 0 0]
81,403.3130000000001,5.778500000000004,65.52,CC(C)/N=C1\CC(c2cccc(NC(=O)Nc3cc(Cl)cc(Cl)c3)c2)=CN1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007744a0>,[0 1 0 ... 0 0 0]
82,382.8950000000002,5.433520000000004,65.52000000000001,Cc1ccc(NC(=O)Nc2cccc(C3=CN/C(=N/C(C)C)C3)c2)cc1Cl,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774510>,[0 1 0 ... 0 0 0]
83,728.8590000000002,12.496899999999977,53.46,c1ccc(-c2nc(-n3c4ccccc4c4ccccc43)nc(-n3c4ccccc4c4ccc5c(c6ccccc6n5-c5ccccc5-c5ccccc5)c43)n2)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774580>,[0 0 0 ... 0 0 0]
84,359.42600000000016,0.9216999999999997,82.97000000000001,CC1(O)CN(c2ccc(C3CN(C(=O)CC[C@@H]4COC(=O)C4)C3)cn2)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007745f0>,[0 0 0 ... 0 0 0]
