,SMILES,FP,FP array
79,C/N=C1\CC(c2cccc(NC(=O)Nc3ccc(Cl)c(C)c3)c2)=CN1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007743c0>,[0 0 0 ... 0 0 0]
80,CC(C)/N=C1\CC(c2cccc(NC(=O)Nc3ccc(Cl)c(Cl)c3)c2)=CN1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774430>,[0 1 0 ... 0 0 0]
81,CC(C)/N=C1\CC(c2cccc(NC(=O)Nc3cc(Cl)cc(Cl)c3)c2)=CN1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007744a0>,[0 1 0 ... 0 0 0]
82,Cc1ccc(NC(=O)Nc2cccc(C3=CN/C(=N/C(C)C)C3)c2)cc1Cl,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774510>,[0 1 0 ... 0 0 0]
83,c1ccc(-c2nc(-n3c4ccccc4c4ccccc43)nc(-n3c4ccccc4c4ccc5c(c6ccccc6n5-c5ccccc5-c5ccccc5)c43)n2)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774580>,[0 0 0 ... 0 0 0]
84,CC1(O)CN(c2ccc(C3CN(C(=O)CC[C@@H]4COC(=O)C4)C3)cn2)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007745f0>,[0 0 0 ... 0 0 0]
85,C=C(C)Nc1nnc(-c2cccc(NC(=O)c3ccccc3F)c2)o1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774660>,[0 0 0 ... 0 0 0]
86,O=c1c2ccccc2n2c3cc(N(c4ccccc4)c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc3c(=O)c3cccc1c32,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007746d0>,[0 0 0 ... 0 0 0]
87,O=c1c2ccc(N(c3ccccc3)c3ccccc3)cc2n2c3cccc(N(c4ccccc4)c4ccccc4)c3c(=O)c3cccc1c32,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774740>,[0 0 0 ... 0 0 0]
88,CNC(=O)CCN1Cc2ccccc2C#Cc2ccccc21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007747b0>,[0 0 0 ... 0 0 0]
89,Cc1cccc(/C=N\Nc2nc3c(c(N4CCOCC4)n2)CN(C(=O)C#CCO)C3)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774820>,[0 0 0 ... 0 0 0]
90,COc1ccc(CN(CC(=O)O)c2cc(CCC(=O)N3CCOCC3)c(N(CC(=O)O)Cc3ccc(OC)cc3)c3ccccc23)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774890>,[0 0 0 ... 0 0 0]
91,CN(CCCN1CCOCC1)c1ccc2c(Oc3ccc(CC(=O)CCc4ccc(C(F)(F)F)nc4)cc3)ncnc2c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774900>,[0 0 0 ... 0 0 0]
92,CCCCOC(=O)C1OC(Oc2ccc3c(C)cc(=O)oc3c2)=C(O)C(O)[C@@H]1O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39c80>,[0 0 0 ... 0 0 0]
93,CNC(=O)c1cnc2ccc(-c3ccc(C(=O)NCCCC(=O)COc4c(C)cc(/N=N/c5cccc6c5CN(C5CCC(=O)NC5=O)C6=O)cc4OC)nc3)cc2c1Nc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39c10>,[0 0 0 ... 0 0 0]
94,C=C1c2[nH]ncc2C(c2cc(C)c(CCCC(=O)NCCCC(=O)COc3c(C)cc(/N=N/c4cccc5c4CN(C4CCC(=O)NC4=O)C5=O)cc3OC)c(OC)c2)=CN1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39ba0>,[0 0 0 ... 0 0 0]
95,Nc1nc(N2CC=C(c3ccc(O)cc3)CC2)nc2c1ccn2-c1ccncc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39b30>,[0 0 0 ... 0 0 0]
96,CC(=O)OCC1O[C@@H](C)C(C)[C@H](OCc2ccccc2)C1O[C@H]1OC(CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@@H](O)[C@H](P[B]B=O)C1N=[N+]=[N-],<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39ac0>,[0 0 1 ... 1 0 0]
